,_lnincwage,_exp,_lnhhinc,figure,group
77,-0.051024992,3.0,-0.015767124,8a,high school dropouts
78,0.0045259604,11.0,0.009887975,8a,high school dropouts
79,-0.0048883185,9.0,0.0007126961,8a,high school dropouts
80,-0.0017084029,14.0,0.009382136,8a,high school dropouts
81,-0.02557547,4.0,-0.018033003,8a,high school dropouts
82,-0.017859314,6.0,-0.010661446,8a,high school dropouts
83,-0.0034567663,13.0,-0.007132221,8a,high school dropouts
84,-0.010006924,12.0,0.0037596344,8a,high school dropouts
85,-0.005512644,10.0,0.005921032,8a,high school dropouts
86,-0.024433626,8.0,-0.000610599,8a,high school dropouts
87,-0.02645988,5.0,-0.010701578,8a,high school dropouts
88,-0.05196755,2.0,-0.023495883,8a,high school dropouts
89,0.009948672,15.0,0.003147602,8a,high school dropouts
90,-0.017440574,8.0,-0.00994107,8b,high school
91,-0.004988575,9.0,-0.0046776775,8b,high school
92,-0.0031268275,13.0,0.001942231,8b,high school
93,-0.0012204192,11.0,-0.005957129,8b,high school
94,-0.028786493,3.0,-0.01651386,8b,high school
95,0.004394769,12.0,-0.0048871636,8b,high school
96,-0.0048405314,14.0,-0.0005045044,8b,high school
97,-0.026378809,5.0,-0.012516796,8b,high school
98,-0.026384482,4.0,-0.013951366,8b,high school
99,-0.018191505,6.0,-0.009951863,8b,high school
100,-0.037583116,1.0,-0.023650045,8b,high school
101,-0.005985101,15.0,0.00038947142,8b,high school
102,-0.009472332,10.0,-0.0033124296,8b,high school
103,-0.0426053,2.0,-0.021364423,8b,high school
104,-0.015683303,7.0,-0.012411821,8b,high school
105,-0.007080771,14.0,0.0039524226,8c,some college
106,-0.030596066,2.0,-0.011142531,8c,some college
107,-0.0105527975,7.0,-0.0068948753,8c,some college
108,-0.030804975,1.0,-0.0124642225,8c,some college
109,-0.0054315077,9.0,-0.004293094,8c,some college
110,-0.03276166,3.0,-0.013791821,8c,some college
111,-0.019236073,13.0,-0.0017052577,8c,some college
112,-0.0026078064,11.0,-0.0010455882,8c,some college
113,-0.019908367,15.0,-0.006400282,8c,some college
114,-0.0016848869,12.0,-0.0074174786,8c,some college
115,-0.009829616,6.0,-0.0066574197,8c,some college
116,-0.0142293535,10.0,0.001851182,8c,some college
117,-0.013174859,8.0,-0.004733684,8c,some college
118,-0.029378964,4.0,-0.011487005,8c,some college
119,-0.027093405,5.0,-0.01376093,8c,some college
120,-0.010305986,5.0,-0.007658283,8d,college degree
121,-0.019003266,1.0,0.001037206,8d,college degree
122,-0.002443865,11.0,-0.0059482004,8d,college degree
123,-0.02053027,2.0,0.0017001302,8d,college degree
124,0.007998811,14.0,0.00062143005,8d,college degree
125,-0.011309451,9.0,-0.011800621,8d,college degree
126,-0.00471086,8.0,-0.011835877,8d,college degree
127,-0.016413609,3.0,-0.009760112,8d,college degree
128,0.0060132546,15.0,-0.0014071751,8d,college degree
129,0.005990107,13.0,0.006399537,8d,college degree
130,-0.00602905,6.0,-0.008476092,8d,college degree
131,-0.017876586,4.0,-0.016016273,8d,college degree
132,0.0008688591,7.0,-0.010149505,8d,college degree
133,-0.0007103951,12.0,-0.0056529767,8d,college degree
134,-0.0020700675,10.0,-0.008591679,8d,college degree
